,player_id,player_name,goal,shot
116,5525.0,Édison Michael Flores Peralta,0.0,5.0
117,5531.0,Jefferson Agustín Farfán Guadalupe,0.0,4.0
118,5517.0,William Vitved Kvist Jørgensen,0.0,0.0
119,5536.0,Yussuf Yurary Poulsen,1.0,2.0
120,4763.0,Henrik Dalsgaard,0.0,1.0
121,5534.0,Simon Thorup Kjær,0.0,0.0
122,5527.0,Thomas Delaney,0.0,4.0
123,5519.0,Christian Alberto Cueva Bravo,0.0,1.0
124,5521.0,Luis Jan Piers Advíncula Castrillón,0.0,3.0
125,5523.0,Renato Fabrizio Tapia Cortijo,0.0,1.0
126,5530.0,Christian Guillermo Martín Ramos Garagay,0.0,0.0
127,5532.0,Alberto Junior Rodríguez Valdelomar,0.0,2.0
128,3632.0,André Martín Carrillo Díaz,1.0,3.0
129,5516.0,Pione Sisto Ifolo Emirmija,0.0,5.0
130,5524.0,Jens Stryger Larsen,0.0,2.0
131,5522.0,Nicolai Jørgensen,0.0,4.0
132,5528.0,Pedro David Gallese Quiróz,0.0,0.0
133,3815.0,Kasper Schmeichel,0.0,0.0
134,5520.0,Lasse Schöne,0.0,4.0
135,5535.0,José Paolo Guerrero Gonzáles,1.0,8.0
136,4447.0,Martin Braithwaite Christensen,0.0,4.0
137,5526.0,Pedro Jesús Aquino Sánchez,0.0,1.0
138,3027.0,Mathias Jattah-Njie Jørgensen,1.0,1.0
139,5533.0,Raúl Mario Ruidíaz Misitich,0.0,0.0
140,3202.0,Gabriel Fernando de Jesus,0.0,10.0
141,5539.0,Carlos Henrique Casimiro,0.0,4.0
142,3501.0,Philippe Coutinho Correia,2.0,23.0
143,5552.0,Marcelo Vieira da Silva Júnior,0.0,4.0
144,5540.0,Valon Behrami,0.0,1.0
145,5541.0,Stephan Lichtsteiner,0.0,3.0
146,5537.0,Fabian Lukas Schär,0.0,1.0
147,5549.0,Manuel Obafemi Akanji,0.0,2.0
148,3533.0,Xherdan Shaqiri,1.0,12.0
149,5551.0,João Miranda de Souza Filho,0.0,1.0
150,5543.0,Haris Seferović,0.0,1.0
151,5548.0,Steven Zuber,1.0,4.0
152,5544.0,Ricardo Iván Rodríguez Araya,0.0,5.0
153,3472.0,Willian Borges da Silva,0.0,5.0
154,3500.0,Granit Xhaka,1.0,4.0
155,5554.0,Blerim Džemaili,1.0,9.0
156,5547.0,Alisson Ramsés Becker,0.0,0.0
157,3295.0,Thiago Emiliano da Silva,1.0,6.0
158,5550.0,Yann Sommer,0.0,0.0
159,4320.0,Neymar da Silva Santos Junior,2.0,25.0
160,3063.0,Danilo Luiz da Silva,0.0,0.0
161,5542.0,José Paulo Bezzera Maciel Júnior,1.0,6.0
162,3054.0,Fernando Luiz Rosa,0.0,3.0
163,5553.0,Renato Soares de Oliveira Augusto,1.0,3.0
164,5538.0,Denis Lemi Zakaria Lako Lado,0.0,0.0
165,3535.0,Roberto Firmino Barbosa de Oliveira,1.0,6.0
166,5545.0,Breel-Donald Embolo,0.0,4.0
167,5546.0,Michael Lang,0.0,1.0
168,5560.0,Carlos Alberto Vela Garrido,1.0,8.0
169,5575.0,Héctor Miguel Herrera López,0.0,5.0
170,5576.0,Jesús Daniel Gallardo Vasconcelos,0.0,1.0
171,5573.0,Héctor Alfredo Moreno Herrera,0.0,2.0
172,5561.0,Hugo Ayala Castro,0.0,1.0
173,5577.0,Francisco Guillermo Ochoa Magaña,0.0,0.0
174,5562.0,Thomas Müller,0.0,4.0
175,3496.0,Mesut Özil,0.0,2.0
176,5566.0,Sami Khedira,0.0,3.0
177,5571.0,Hirving Rodrigo Lozano Bahena,1.0,12.0
178,5563.0,José Andrés Guardado Hernández,0.0,8.0
179,3058.0,Javier Hernández Balcázar,1.0,6.0
180,5564.0,Carlos Joel Salcedo Hernández,0.0,5.0
181,5556.0,Miguel Arturo Layún Prado,0.0,8.0
182,5570.0,Manuel Neuer,0.0,0.0
183,5569.0,Marvin Plattenhardt,0.0,1.0
184,5574.0,Toni Kroos,1.0,15.0
185,5578.0,Jérôme Boateng,0.0,3.0
186,5579.0,Joshua Kimmich,0.0,3.0
187,5557.0,Timo Werner,0.0,7.0
188,3186.0,Julian Draxler,0.0,6.0
189,5572.0,Mats Hummels,0.0,6.0
190,5559.0,Marco Reus,1.0,6.0
191,5567.0,Edson Omar Álvarez Velázquez,0.0,1.0
192,5568.0,Raúl Alonso Jiménez Rodríguez,0.0,1.0
193,5558.0,Rafael Márquez Álvarez,0.0,0.0
194,5565.0,Mario Gómez García,0.0,6.0
195,5555.0,Julian Brandt,0.0,4.0
196,4269.0,Aleksandar Mitrović,1.0,16.0
197,5603.0,Nikola Milenković,0.0,0.0
198,5589.0,Sergej Milinković-Savić,0.0,5.0
199,5587.0,Adem Ljajić,0.0,1.0
200,5596.0,Aleksandar Kolarov,1.0,1.0
201,3381.0,Nemanja Matić,0.0,3.0
202,5594.0,Branislav Ivanović,0.0,0.0
203,5599.0,David Alberto Guzmán Pérez,0.0,1.0
204,3831.0,Dušan Tadić,0.0,3.0
205,5595.0,Johan Alberto Venegas Ulloa,0.0,0.0
206,5600.0,Francisco Javier Calvo Quesada,0.0,1.0
207,5598.0,Óscar Esau Duarte Gaitán,0.0,2.0
208,5584.0,Giancarlo González Castro,0.0,2.0
209,5592.0,Bryan Ruiz González,0.0,1.0
210,5586.0,Marcos Danilo Ureña Porras,0.0,2.0
211,5601.0,Vladimir Stojković,0.0,0.0
212,5602.0,Cristian Gamboa Luna,0.0,3.0
213,5580.0,Duško Tošić,0.0,0.0
214,5582.0,Celso Borges Mora,0.0,5.0
215,5590.0,Johnny Acosta Zamora,0.0,0.0
216,5597.0,Keylor Navas Gamboa,0.0,0.0
217,3455.0,Luka Milivojević,0.0,0.0
218,5593.0,Christian Bolaños Navarro,0.0,0.0
219,5581.0,Joel Nathaniel Campbell Samuels,0.0,3.0
220,5591.0,Filip Kostić,0.0,4.0
221,5585.0,Daniel Colindres Solera,0.0,3.0
222,5588.0,Antonio Rukavina,0.0,0.0
223,5583.0,Aleksandar Prijović,0.0,0.0
224,5645.0,Armando Enrique Cooper Whitaker,0.0,1.0
225,5638.0,Fidel Escobar Mendieta,0.0,0.0
