,GTR,game_id,player_id,team_id,X,Y,MP,GD,OC,VX,VY,ED,Angle,T,episode
47704,100.0,7552,3289.0,782,49.583333333333336,50.625,0,0,1,-11.574074074074087,-1.9737298215558338e-14,0.72,3.13095475701425,1,1
47705,99.99,7552,5642.0,782,41.25,50.625,0,0,1,-0.7440476190476274,-1.2688263138573217e-14,1.12,3.1311035277945782,1,1
47706,99.97,7552,5642.0,782,40.416666666666664,50.625,0,0,1,-2.7777777777777857,-27.083333333333346,0.6,1.9227778343233983,1,1
47707,99.96,7552,3089.0,782,38.75,34.375,0,0,1,-7.1022727272727275,5.681818181818178,1.76,2.3907279081457133,1,1
47708,99.93,7552,5639.0,782,26.25,44.375,0,0,1,-4.807692307692315,0.0,0.52,3.0679555482898273,1,1
47709,99.92,7552,5639.0,782,23.75,44.375,0,0,1,-4.010266281681108,-19.2492781520693,1.039,2.0846721672485913,1,1
47710,99.9,7552,20005.0,782,19.583333333333332,24.375,0,0,1,-1.54178230033919,-11.563367252543948,1.081,2.1381672055498284,1,1
47711,99.88,7552,20005.0,782,17.916666666666668,11.875,0,0,1,15.224358974358958,-8.413461538461538,1.04,1.120634611800115,1,1
47712,99.86,7552,3176.0,782,33.75,3.125,0,0,1,6.249999999999996,1.7857142857142858,2.8,0.4313814650519845,1,1
47713,99.81,7552,3176.0,782,51.24999999999999,8.125,0,0,1,9.469696969696964,11.363636363636362,0.88,0.20827022008869475,1,1
47714,99.8,7552,5630.0,782,59.583333333333336,18.125,0,0,1,9.057971014492725,-4.076086956521741,0.92,1.2605121537365425,1,1
47715,99.78,7552,5630.0,782,67.91666666666667,14.375,0,0,1,12.437810945273348,373.1343283582089,0.067,1.2097368241360944,1,1
47716,99.78,7552,3621.0,782,68.75,39.37500000000001,0,0,1,0.3453515678961163,-1.554082055532538,2.413,1.7936179516976543,1,1
47717,99.74,7552,5656.0,777,30.416666666666657,64.375,0,0,0,-2.1282018023784713e-16,-4.2564036047569425e-16,33.387,1.5707963267948966,-1,1
47718,99.16,7552,3089.0,782,67.08333333333333,31.875,0,0,0,13.179695737309824,10.732037957523717,2.213,1.6661849687346653,1,1
47719,99.12,7552,5648.0,777,3.75,44.375,0,0,1,0.9308015531088761,-1.1967448539971288,6.267,1.0539075450573645,-1,1
