,GTR,game_id,player_id,team_id,X,Y,MP,GD,OC,VX,VY,ED,Angle,T,episode
96852,99.97,7580,5487.0,771,49.583333333333336,48.12499999999999,0,0,1,-11.029411764705891,-7.9656862745098005,2.04,2.7597412873758804,1,1
96853,99.93,7580,5485.0,771,27.083333333333332,31.875,0,0,1,2.3148148148148113,0.9920634920634921,2.52,0.1760525874012506,1,1
96854,99.84,7580,3604.0,771,71.25,19.375,0,0,0,0.0,0.0,0.0,1.5707963267948966,1,1
96855,99.19,7580,6312.0,779,25.416666666666657,74.375,0,0,0,16.85049019607843,-0.45955882352941696,2.72,0.6501204702418075,-1,1
96856,99.14,7580,20004.0,771,28.749999999999996,26.875,0,0,1,2.314814814814807,6.944444444444445,0.72,0.9942290570414879,1,1
96857,99.13,7580,20004.0,771,30.416666666666664,31.875,0,0,1,6.410256410256408,-24.038461538461537,1.04,1.911074614505871,1,1
96858,99.11,7580,3009.0,771,37.083333333333336,6.875,0,0,1,1.8115942028985403,-9.654113257610056e-16,0.92,0.6134600655737037,1,1
96859,99.1,7580,3009.0,771,38.75,6.875,0,0,1,-10.800363801728063,1.70532060027285,1.466,2.499956054755242,1,1
96860,99.07,7580,5476.0,771,22.916666666666664,9.375,0,0,1,-1.6436554898093372,7.39644970414201,1.014,1.391297688591497,1,1
96861,99.05,7580,5476.0,771,21.25,16.875,0,0,1,-7.812500000000002,14.973958333333332,1.92,2.0050507726701667,1,1
96862,99.02,7580,3099.0,771,6.25,45.62500000000001,0,0,1,0.0,1.1363636363636265,2.2,1.550798992821746,1,1
96863,98.98,7580,3099.0,771,6.25,48.12499999999999,0,0,1,2.5523226135783554,20.09954058192955,1.306,1.7078134379716408,1,1
96864,98.96,7580,5492.0,771,9.583333333333334,74.375,0,0,1,2.0827547903360166,-1.388503193557349,3.601,0.3584529830443445,1,1
96865,98.9,7580,5492.0,771,17.083333333333332,69.375,0,0,1,2.4999999999999964,-37.50000000000001,1.0,1.7259124506313916,1,1
96866,98.88,7580,5485.0,771,19.583333333333332,31.875,0,0,1,2.185505726025002,-2.6226068712300026,3.813,1.2480646324100177,1,1
96867,98.82,7580,5485.0,771,27.916666666666668,21.875,0,0,1,12.499999999999982,-17.5,1.0,1.6040420643760587,1,1
96868,98.8,7580,5476.0,771,40.416666666666664,4.375,0,0,1,-0.7440476190476211,-1.1160714285714288,1.12,2.8186473566313883,1,1
96869,98.78,7580,5476.0,771,39.58333333333333,3.125,0,0,1,13.257575757575747,5.681818181818182,0.88,0.30478933777201284,1,1
96870,98.76,7580,3009.0,771,51.24999999999999,8.125,0,0,1,-1.5318627450980382,3.676470588235293,2.72,1.4234328409670407,1,1
96871,98.72,7580,3009.0,771,47.083333333333336,18.125,0,0,1,-4.1666666666666785,14.583333333333329,0.6,1.4537711058093292,1,1
96872,98.71,7580,20004.0,771,44.583333333333336,26.875,0,0,1,-0.30193236714975935,-8.152173913043478,2.76,2.2892958273749837,1,1
96873,98.66,7580,20004.0,771,43.75,4.375,0,0,0,4.960317460317458,-4.4642857142857135,0.84,1.4915255577767788,1,1
96874,98.47,7580,3602.0,779,25.416666666666657,80.625,0,0,1,10.416666666666668,14.42307692307691,1.04,1.5664875563324558,-1,1
96875,98.45,7580,5507.0,779,36.25,95.625,0,0,1,-1.302083333333326,0.9765624999999889,1.28,3.1198456941036206,-1,1
96876,98.43,7580,5507.0,779,34.58333333333334,96.875,0,0,1,-11.824324324324333,-10.97972972972975,1.48,2.039409412227157,-1,1
