,GTR,game_id,player_id,team_id,X,Y,MP,GD,OC,VX,VY,ED,Angle,T,episode
25396,100.0,7541,5684.0,778,49.583333333333336,50.625,0,0,1,-8.928571428571434,-1.0150610510858574e-14,1.4,3.131659205490586,-1,1
25397,99.97,7541,5681.0,778,37.083333333333336,50.625,0,0,1,-6.944444444444435,-15.62500000000003,0.24,2.0373700430260278,-1,1
25398,99.97,7541,5681.0,778,35.41666666666667,46.875,0,0,1,-4.812319538017345,-16.843118383060638,1.039,2.137253369649466,-1,1
25399,99.95,7541,3300.0,778,30.416666666666657,29.375,0,0,1,2.0828126301757917,-1.2496875781054735,4.001,0.9366588448811075,-1,1
25400,99.88,7541,3300.0,778,38.75,24.375,0,0,0,13.489703777117048,3.3036009250082565,3.027,0.41305426767536413,-1,1
25401,99.83,7541,5680.0,769,20.416666666666668,65.625,0,0,0,9.935419771485337,1.8628912071534953,2.013,0.49973796434474443,1,1
25402,99.79,7541,5681.0,778,59.583333333333336,30.625,0,0,0,5.376344086021495,-12.096774193548388,2.48,2.221659634476006,-1,1
25403,99.59,7541,5691.0,769,25.416666666666664,99.375,0,0,1,23.23717948717949,-3.605769230769231,1.04,0.5816032931983411,1,1
25404,99.57,7541,3279.0,769,49.583333333333336,95.625,0,0,1,-8.881784197001252e-14,-31.250000000000355,0.08,0.8631918526767386,1,1
25405,99.57,7541,3279.0,769,49.583333333333336,93.125,0,0,1,-3.3783783783783834,-7.601351351351361,1.48,1.4670451236473134,1,1
25406,99.54,7541,3445.0,769,44.583333333333336,81.875,0,0,1,-12.061403508771935,4.934210526315752,0.76,3.025830690855986,1,1
25407,99.52,7541,5678.0,769,35.41666666666667,85.625,0,0,1,-3.7481259370314945,-5.622188905547226,0.667,1.7152239074091844,1,1
25408,99.51,7541,5678.0,769,32.916666666666664,81.875,0,0,0,5.688282138794101,-4.266211604095612,0.293,0.20565422489390225,1,1
25409,99.5,7541,5685.0,769,34.583333333333336,80.625,0,0,1,-7.440476190476223,-8.928571428571475,0.5599999999999987,1.9126829691529768,1,1
25410,99.49,7541,5685.0,769,30.416666666666664,75.625,0,0,1,-1.2400396784643984e-14,10.90750436300172,0.573,2.0003523990690617,1,1
25411,99.48,7541,5678.0,769,30.416666666666664,81.875,0,0,1,-2.658160552897397,-3.9872408293460926,0.627,1.767750775072153,1,1
25412,99.47,7541,5678.0,769,28.749999999999996,79.375,0,0,1,3.4106412005457027,-13.64256480218283,0.733,1.0511237582669228,1,1
25413,99.46,7541,5685.0,769,31.25,69.375,0,0,1,0.5630630630630671,-3.3783783783783785,1.48,1.1970695068293427,1,1
25414,99.43,7541,5685.0,769,32.083333333333336,64.375,0,0,1,3.2051282051282026,-16.826923076923077,3.12,1.9647441578681328,1,1
25415,99.38,7541,5696.0,769,42.083333333333336,11.875,0,0,1,-2.1210230918211944e-13,-18.656716417910445,0.067,2.1678745887450206,1,1
25416,99.38,7541,5696.0,769,42.083333333333336,10.625,0,0,1,12.617572837806822,-5.1617343427391615,1.453,1.2578551221010852,1,1
25417,99.35,7541,5689.0,769,60.416666666666664,3.125,0,0,1,-1.302083333333337,0.6510416666666667,1.92,1.8521887594440738,1,1
25418,99.32,7541,5689.0,769,57.91666666666667,4.375,0,0,1,-7.698229407236349,8.660508083140874,0.866,1.633738286102271,1,1
25419,99.31,7541,5692.0,769,51.24999999999999,11.875,0,0,1,-7.808161931429672e-14,0.0,0.091,1.5707963267948966,1,1
25420,99.3,7541,5692.0,769,51.24999999999999,11.875,0,0,1,1.220107369448515,-14.641288433382133,0.683,2.275222452298549,1,1
25421,99.29,7541,5689.0,769,52.083333333333336,1.875,0,0,1,-2.5000000000000036,0.6249999999999998,2.0,2.1716848150165964,1,1
25422,99.26,7541,5687.0,778,52.916666666666664,96.875,0,0,0,-1.3841292213111912e-15,-1.3841292213111912e-15,10.267000000000003,1.5707963267948966,-1,1
25423,99.08,7541,5696.0,769,48.75,3.125,0,0,1,-12.983266012694754,0.7212925562608193,1.733,2.532078452542764,1,1
25424,99.05,7541,3494.0,769,26.25,4.375,0,0,1,-1.262626262626266,2.8409090909090895,1.32,1.4821567285667427,1,1
25425,99.03,7541,3494.0,769,24.583333333333332,8.125,0,0,1,-3.1250000000000044,30.46874999999999,1.6,1.7582878962296014,1,1
25426,99.0,7541,5680.0,769,19.583333333333332,56.875,0,0,1,-12.437810945273666,18.656716417910342,0.067,2.258467582833626,1,1
25427,99.0,7541,5680.0,769,18.75,58.125,0,0,1,-4.7778308647873855,-1.1944577161968535,2.093,2.835048058724995,1,1
