,GTR,game_id,player_id,team_id,X,Y,MP,GD,OC,VX,VY,ED,Angle,T,episode
61016,100.0,7559,5252.0,774,49.583333333333336,50.625,0,0,1,-14.290818149339058,-9.378349410503759,0.933,2.6876038351234848,-1,1
61017,99.98,7559,3568.0,774,36.25,41.87499999999999,0,0,1,0.0,14.97005988023952,0.167,1.4827889532671559,-1,1
61018,99.98,7559,3568.0,774,36.25,44.375,0,0,1,-3.4411562284927735,-24.088093599449405,1.453,2.246401573038322,-1,1
61019,99.96,7559,5250.0,774,31.25,9.375,0,0,1,0.0,1.0897994768962511,1.147,1.0506717392794271,-1,1
61020,99.94,7559,5250.0,774,31.25,10.625,0,0,1,-5.833333333333334,8.124999999999996,2.0,1.9134574718934374,-1,1
61021,99.9,7559,5254.0,774,19.58333333333333,26.875,0,0,1,-1.25,17.499999999999993,2.0,1.7843525872883816,-1,1
61022,99.87,7559,4063.0,774,17.08333333333333,61.875,0,0,1,0.0,2.4671052631578902,1.52,1.757054332659482,-1,1
61023,99.85,7559,4063.0,774,17.08333333333333,65.625,0,0,1,5.208333333333328,18.74999999999999,1.6,1.8488507031166288,-1,1
61024,99.82,7559,5263.0,774,25.416666666666657,95.625,0,0,1,-4.166666666666661,-1.5625000000000178,0.8,2.265116790265659,-1,1
61025,99.81,7559,5263.0,774,22.08333333333333,94.375,0,0,1,-4.166666666666667,-13.541666666666703,1.2,1.5422776345574214,-1,1
61026,99.79,7559,4063.0,774,17.08333333333333,78.125,0,0,1,-2.0833333333333237,1.5624999999999822,0.8,2.8323506447141598,-1,1
61027,99.77,7559,4063.0,774,15.416666666666671,79.375,0,0,1,-4.166666666666671,-20.000000000000007,2.0,1.8900469582364199,-1,1
61028,99.74,7559,5254.0,774,7.083333333333329,39.37500000000001,0,0,1,2.777777777777777,-2.7777777777777857,1.8,0.9612867423977496,-1,1
61029,99.71,7559,5254.0,774,12.083333333333329,34.375,0,0,1,8.165225744476464,-4.322766570605189,1.735,0.7907488852221592,-1,1
61030,99.68,7559,3568.0,774,26.25,26.875,0,0,1,4.140786749482398,3.416149068322979,4.025,0.5270196281370897,-1,1
61031,99.62,7559,3568.0,774,42.916666666666664,40.625,0,0,1,-0.5081300813008188,27.439024390243894,1.64,2.1407669887927834,-1,1
61032,99.59,7559,5263.0,774,42.083333333333336,85.625,0,0,1,-0.8333333333333428,2.499999999999993,2.0,2.4909657746700766,-1,1
61033,99.56,7559,5263.0,774,40.416666666666664,90.625,0,0,1,19.006588950836285,-4.434870755195134,1.973,0.7356799405953934,-1,1
61034,99.52,7559,5252.0,774,77.91666666666667,81.875,0,0,1,2.805836139169461,4.208754208754205,3.267,2.2777043875550134,-1,1
