,GTR,game_id,player_id,team_id,X,Y,MP,GD,OC,VX,VY,ED,Angle,T,episode
42092,99.98,7549,5475.0,775,49.583333333333336,50.625,0,0,1,-20.833333333333336,-7.500000000000007,1.0,2.8922305005669497,1,1
42093,99.98,7549,5455.0,775,28.749999999999996,43.125,0,0,1,5.0,5.0,0.5,0.7218474919719918,1,1
42094,99.97,7549,5455.0,775,31.25,45.62500000000001,0,0,0,10.71428571428571,10.714285714285685,0.7,0.8363743704727612,1,1
42095,99.95,7549,5509.0,793,47.91666666666667,91.875,0,0,1,-1.190476190476199,-4.464285714285714,1.4,1.2460842805625583,-1,1
42096,99.93,7549,5509.0,793,46.25,85.625,0,0,1,-2.8409090909091073,-19.88636363636362,0.88,1.4009759351497941,-1,1
42097,99.91,7549,3944.0,793,43.75,68.125,0,0,1,8.928571428571427,31.249999999999947,0.28,1.7561442767905915,-1,1
42098,99.91,7549,3944.0,793,46.25,76.875,0,0,1,-13.333333333333343,13.75,1.0,2.8853307934955033,-1,1
42099,99.89,7549,5501.0,793,32.91666666666666,90.625,0,0,1,-1.2250736823450004e-14,-4.31034482758622,1.16,1.0826137647313547,-1,1
42100,99.87,7549,5501.0,793,32.91666666666666,85.625,0,0,1,-5.902777777777779,-18.749999999999996,2.4,1.9906652790262003,-1,1
42101,99.83,7549,5505.0,793,18.75,40.625,0,0,1,0.0,-6.2499999999999645,0.2,1.700827703136588,-1,1
42102,99.83,7549,5505.0,793,18.75,39.37500000000001,0,0,1,2.170138888888882,12.369791666666659,1.92,1.5657779527167686,-1,1
42103,99.79,7549,5511.0,793,22.916666666666657,63.125,0,0,1,-0.4629629629629623,-5.55555555555556,1.8,1.6138520909945162,-1,1
42104,99.76,7549,5511.0,793,22.08333333333333,53.125,0,0,1,-5.0287356321839045,-20.47413793103449,1.16,2.053106521149934,-1,1
42105,99.74,7549,5505.0,793,16.25,29.375,0,0,1,0.9920634920634949,1.4880952380952381,1.68,0.7654688625854981,-1,1
42106,99.72,7549,5505.0,793,17.91666666666667,31.875,0,0,1,-7.2278911564625865,7.653061224489792,1.96,2.295174701124566,-1,1
42107,99.68,7549,5498.0,793,3.75,46.875,0,0,1,-0.5630630630630602,-3.378378378378388,1.48,1.8194414127834369,-1,1
42108,99.66,7549,5498.0,793,2.9166666666666714,41.87499999999999,0,0,0,13.290351770161744,-13.148965049202573,2.947,1.4604683579261288,-1,1
42109,99.61,7549,5462.0,775,57.91666666666667,96.875,0,0,1,7.066753642096096,-6.523157208088724,1.533,0.12236061771498082,1,1
42110,99.58,7549,3708.0,775,68.75,86.875,0,0,1,-6.260288420793834e-14,5.506607929515356,0.227,2.4549710822600077,1,1
42111,99.58,7549,3708.0,775,68.75,88.125,0,0,0,-5.608974358974382,1.2019230769230358,1.04,2.537324042035734,1,1
42112,99.56,7549,5515.0,793,37.083333333333336,10.625,0,0,1,0.0,0.0,0.0,1.5707963267948966,-1,1
42113,99.56,7549,5515.0,793,37.083333333333336,10.625,0,0,1,-1.4412631557000004e-14,-2.535496957403651,0.493,2.14413948670691,-1,1
42114,99.55,7549,5515.0,793,37.083333333333336,9.375,0,0,1,0.0,0.0,0.0,1.5707963267948966,-1,1
42115,99.55,7549,5515.0,793,37.083333333333336,9.375,0,0,1,6.249999999999982,-9.375,0.4,1.6162896072663764,-1,1
42116,99.54,7549,5495.0,793,39.58333333333333,5.625,0,0,1,4.032258064516135,3.0241935483870948,1.24,0.010915272974672437,-1,1
42117,99.52,7549,5495.0,793,44.583333333333336,9.375,0,0,0,9.384384384384377,1.4076576576576567,4.44,1.0414000020730345,-1,1
42118,99.45,7549,5830.0,775,13.750000000000002,84.375,0,0,1,-3.6326649229875048,0.0,1.147,2.778284580629105,1,1
42119,99.43,7549,5830.0,775,9.583333333333334,84.375,0,0,0,11.365984707584209,9.299442033477991,1.613,1.2862975906522163,1,1
42120,98.94,7549,5515.0,793,82.08333333333333,1.875,0,0,0,4.441060779088939,16.653977921583557,2.627,0.6994679706583478,-1,1
42121,98.89,7549,3338.0,775,6.25,55.625,0,0,1,2.6844608068722144,9.7791072250345,2.173000000000002,1.599552115583834,1,1
42122,98.86,7549,3944.0,793,87.91666666666667,23.125,0,0,1,-0.7440476190476402,1.1160714285714253,1.12,1.0548969543867557,-1,1
42123,98.84,7549,3944.0,793,87.08333333333333,24.375,0,0,0,0.6344372541555605,5.709935287400077,2.627,0.7033046000623127,-1,1
42124,98.79,7549,3338.0,775,11.25,60.625,0,0,1,1.6025641025641002,-12.019230769230782,1.04,1.4597725687131842,1,1
42125,98.77,7549,5466.0,775,13.750000000000002,48.12499999999999,0,0,0,11.531925224569067,0.0,1.373,0.02662092863321281,1,1
42126,98.71,7549,5462.0,775,21.25,49.375,0,0,0,-6.198035029310014e-17,-3.7188210175860087e-16,57.32000000000001,1.5707963267948966,1,1
42127,97.74,7549,3944.0,793,76.25,50.625,0,0,0,20.833333333333307,3.6458333333333264,1.08,1.476631196063388,-1,1
42128,97.72,7549,5454.0,775,0.4166666666666667,51.875,0,0,1,-1.2053753551616145e-18,-1.5428804546068665e-16,46.053,1.5707963267948966,1,1
42129,96.94,7549,3944.0,793,98.75,96.875,0,0,0,-2.551020408163273,-25.510204081632658,1.96,2.1341125882868646,-1,1
42130,96.91,7549,5454.0,775,6.25,53.125,0,0,1,0.0,0.0,0.0,1.5707963267948966,1,1
42131,96.91,7549,5454.0,775,6.25,53.125,0,0,1,1.19047619047619,0.8928571428571404,5.6,0.7365332149645077,1,1
42132,96.81,7549,5454.0,775,12.916666666666668,58.125,0,0,1,6.384408602150533,9.072580645161285,2.48,1.3635389648686846,1,1
42133,96.77,7549,5462.0,775,28.749999999999996,80.625,0,0,1,4.426032150697541,1.858933503292962,4.707,1.0606705864430874,1,1
42134,96.69,7549,5462.0,775,49.583333333333336,89.375,0,0,1,-8.029364533149808,-5.1617343427391695,1.453,2.095927063016099,1,1
42135,96.66,7549,5830.0,775,37.916666666666664,81.875,0,0,1,-1.3290802764487013,-1.993620414673069,0.627,1.7058033818219012,1,1
