,GTR,game_id,player_id,team_id,X,Y,MP,GD,OC,VX,VY,ED,Angle,T,episode
106083,99.98,7584,3289.0,782,50.416666666666664,50.625,0,0,1,-10.277492291880781,-3.8540596094553004,0.973,2.835221525020313,1,1
106084,99.97,7584,5642.0,782,40.416666666666664,46.875,0,0,1,-0.7527853056308362,3.387533875338747,1.107,1.7998097312599186,1,1
106085,99.95,7584,5642.0,782,39.58333333333333,50.625,0,0,1,-6.250000000000002,24.218749999999986,1.6,2.333208066606587,1,1
106086,99.92,7584,3077.0,782,29.583333333333332,89.375,0,0,1,-3.807838884030548e-15,-2.679528403001087,0.933,1.0883935900914827,1,1
106087,99.9,7584,3077.0,782,29.583333333333332,86.875,0,0,1,-7.018887187340478,-14.356814701378264,1.306,1.801586460626048,1,1
106088,99.88,7584,3101.0,782,20.416666666666668,68.125,0,0,1,-1.0950503723171343,-3.2851511169513796,0.761,1.700637550587463,1,1
106089,99.87,7584,3101.0,782,19.583333333333332,65.625,0,0,1,-0.6720430107526901,-26.209677419354843,1.24,1.801212685259549,1,1
106090,99.84,7584,20005.0,782,18.75,33.125,0,0,1,0.32051282051281865,-2.732856676000385e-15,2.6,0.20684331454051536,1,1
106091,99.8,7584,20005.0,782,19.583333333333332,33.125,0,0,1,-2.9761904761904776,12.117346938775507,1.96,1.8911847493233298,1,1
106092,99.76,7584,3101.0,782,13.750000000000002,56.875,0,0,1,-7.526935760170553e-16,15.360169491525415,2.36,2.0344439357957027,1,1
106093,99.72,7584,3077.0,782,13.750000000000002,93.125,0,0,1,1.8939393939393911,2.8409090909090584,0.44,1.4619289611839945,1,1
106094,99.72,7584,3077.0,782,14.583333333333334,94.375,0,0,0,13.053036548502325,4.122011541632305,1.213,0.9230060286184786,1,1
106095,99.4,7584,3530.0,778,72.91666666666666,0.625,0,0,1,7.1750717507175015,3.0750307503075023,0.813,0.7402820721701823,-1,1
106096,99.38,7584,5693.0,778,78.75,3.125,0,0,1,1.8559762435040725,0.0,1.347,1.1902899496825317,-1,1
106097,99.36,7584,5693.0,778,81.25,3.125,0,0,0,3.4722222222221433,5.208333333333334,0.24,0.21381027038730321,-1,1
106098,99.34,7584,5679.0,778,82.08333333333333,4.375,0,0,1,0.8680555555555647,9.114583333333321,0.9600000000000009,0.3388882200567314,-1,1
106099,99.33,7584,5679.0,778,82.91666666666667,13.125,0,0,1,-8.207070707070725,10.41666666666666,1.32,1.5463075177686412,-1,1
106100,99.3,7584,5681.0,778,72.08333333333333,26.875,0,0,1,0.0,2.6041666666666594,0.96,0.9344979745925319,-1,1
106101,99.29,7584,5681.0,778,72.08333333333333,29.375,0,0,1,-1.827485380116955,26.86403508771929,2.28,2.5410595484751926,-1,1
106102,99.25,7584,5690.0,778,67.91666666666667,90.625,0,0,1,-5.46571335200077e-15,-5.46571335200077e-15,2.6,1.5707963267948966,-1,1
106103,99.2,7584,5690.0,778,67.91666666666667,90.625,0,0,1,-5.6306306306306375,-6.756756756756767,1.48,1.6171033780209696,-1,1
106104,99.17,7584,5682.0,778,59.583333333333336,80.625,0,0,1,-1.1102230246251565e-14,-1.1102230246251565e-14,1.28,1.5707963267948966,-1,1
106105,99.15,7584,5682.0,778,59.583333333333336,80.625,0,0,0,10.256410256410247,-21.634615384615383,2.6,2.206414294806003,-1,1
106106,99.11,7584,5633.0,782,13.750000000000002,75.625,0,0,0,3.6458333333333304,-4.687500000000009,1.6,0.6880688703318915,1,1
106107,99.08,7584,5684.0,778,80.41666666666667,31.875,0,0,1,0.42517006802720847,5.102040816326522,1.96,1.0787472659555302,-1,1
