,GTR,game_id,player_id,team_id,X,Y,MP,GD,OC,VX,VY,ED,Angle,T,episode
92880,99.99,7578,4319.0,783,50.416666666666664,49.375,0,0,1,-13.020833333333334,-9.114583333333337,1.92,2.7692621689577503,-1,1
92881,99.96,7578,5259.0,783,25.416666666666657,31.875,0,0,1,0.6510416666666713,-3.9062500000000084,1.28,1.7094973027911582,-1,1
92882,99.94,7578,5259.0,783,26.25,26.875,0,0,0,16.400544621859133,-8.354994430003714,2.693,1.4667116874218118,-1,1
92883,99.89,7578,5263.0,774,29.583333333333332,95.625,0,0,0,8.926977325477592,-5.356186395286564,1.867,0.04489493770909536,1,1
92884,99.86,7578,5255.0,783,53.75,14.375,0,0,1,-1.0765799026668185e-14,-0.9469696969696969,1.32,2.2438871054997693,-1,1
92885,99.84,7578,5255.0,783,53.75,13.125,0,0,0,-2.666201635122327e-14,-7.035647279549725,0.533,2.291536543768364,-1,1
92886,99.82,7578,5255.0,783,53.75,9.375,0,0,1,-5.401234567901237,12.73148148148148,1.08,1.4956596015773669,-1,1
92887,99.8,7578,5255.0,783,47.91666666666667,23.125,0,0,1,-7.3529411764705985,2.450980392156861,2.04,2.5046273994424406,-1,1
92888,99.76,7578,5259.0,783,32.91666666666666,28.125,0,0,1,-3.552713678800501e-13,31.24999999999991,0.04,1.272515640512978,-1,1
92889,99.76,7578,5259.0,783,32.91666666666666,29.375,0,0,1,-6.1274509803921475,9.191176470588225,0.68,1.9597170314502776,-1,1
92890,99.75,7578,5249.0,783,28.75,35.625,0,0,1,-1.9308226515220113e-15,-0.33967391304348016,3.68,1.7866771758040507,-1,1
92891,99.69,7578,5249.0,783,28.75,34.375,0,0,1,4.032258064516129,-3.0241935483870996,1.24,0.9280195931012816,-1,1
92892,99.67,7578,5255.0,783,33.75,30.625,0,0,1,-2.732856676000385e-14,0.0,0.52,1.5707963267948966,-1,1
92893,99.66,7578,5255.0,783,33.75,30.625,0,0,1,-4.219409282700429,6.3291139240506284,1.58,2.0309290117824648,-1,1
92894,99.63,7578,5249.0,783,27.08333333333333,40.625,0,0,1,0.0,-7.142857142857154,0.7,1.765443130511063,-1,1
92895,99.62,7578,5249.0,783,27.08333333333333,35.625,0,0,1,1.7361111111111087,19.097222222222214,1.44,1.6644123871418166,-1,1
92896,99.59,7578,5260.0,783,29.58333333333333,63.125,0,0,1,4.02046783625731,9.868421052631573,2.28,1.7107252169029246,-1,1
92897,99.56,7578,5260.0,783,38.75,85.625,0,0,1,13.020833333333325,-11.718750000000021,0.64,0.24428926739752355,-1,1
92898,99.54,7578,5258.0,783,47.083333333333336,78.125,0,0,1,-3.6231884057971118,-5.434782608695652,0.92,1.768750858079015,-1,1
92899,99.53,7578,5258.0,783,43.75,73.125,0,0,1,-10.964912280701757,-7.4013157894736885,1.52,2.3864031473497413,-1,1
92900,99.5,7578,5249.0,783,27.08333333333333,61.875,0,0,1,2.40384615384615,2.4038461538461537,1.04,0.986773236066019,-1,1
92901,99.48,7578,5249.0,783,29.58333333333333,64.375,0,0,1,8.570276265376082,15.88021778584392,1.653,1.7013939246030512,-1,1
92902,99.46,7578,5248.0,783,43.75,90.625,0,0,1,-2.834235084802952e-15,-2.4930195452732407,2.507,1.0222469243443684,-1,1
92903,99.41,7578,5248.0,783,43.75,84.375,0,0,1,-6.628787878787874,-6.392045454545454,1.76,2.046195923877409,-1,1
92904,99.38,7578,5249.0,783,32.08333333333334,73.125,0,0,1,0.0,-5.208333333333344,1.44,1.344669672231523,-1,1
92905,99.36,7578,5249.0,783,32.08333333333334,65.625,0,0,1,1.4534883720930192,-24.709302325581397,1.72,1.9018463942869945,-1,1
92906,99.33,7578,5264.0,783,34.58333333333334,23.125,0,0,1,4.595588235294112,-3.6764705882352953,2.72,1.2833499476158607,-1,1
92907,99.28,7578,5264.0,783,47.083333333333336,13.125,0,0,0,11.368804001819012,-11.937244201909959,0.733,1.6067285668741236,-1,1
92908,99.27,7578,5261.0,774,44.583333333333336,95.625,0,0,0,-6.44366315190079e-16,-1.288732630380158e-15,11.027000000000001,1.5707963267948966,1,1
92909,99.08,7578,5264.0,783,55.41666666666667,1.875,0,0,1,-1.470588235294122,12.499999999999996,3.4,1.5749426444970518,-1,1
92910,99.02,7578,5260.0,783,50.416666666666664,44.375,0,0,1,-7.250436079184696e-15,14.030612244897952,1.96,1.9862884227357873,-1,1
92911,98.99,7578,5248.0,783,50.416666666666664,71.875,0,0,1,-1.838402938577232e-14,-1.838402938577232e-14,0.773,1.5707963267948966,-1,1
92912,98.98,7578,5248.0,783,50.416666666666664,71.875,0,0,1,10.683760683760674,-13.736263736263735,0.546,0.5922944226895783,-1,1
92913,98.97,7578,5258.0,783,56.25,64.375,0,0,1,-2.603262755987512,-2.169385629989592,2.881,2.289626326416521,-1,1
92914,98.92,7578,5258.0,783,48.75,58.125,0,0,1,-3.556910569105697,-12.195121951219518,1.64,2.0596943225048485,-1,1
92915,98.89,7578,5259.0,783,42.916666666666664,38.125,0,0,1,0.0,-1.0449157878825002e-14,0.68,1.5707963267948966,-1,1
92916,98.88,7578,5259.0,783,42.916666666666664,38.125,0,0,1,0.0,13.297872340425526,1.88,1.7967953882957721,-1,1
92917,98.85,7578,5249.0,783,42.916666666666664,63.125,0,0,1,-0.516635668526561,-4.649721016739009,1.613,1.584634905573759,-1,1
92918,98.82,7578,5249.0,783,42.083333333333336,55.625,0,0,0,13.52813852813852,-13.392857142857142,3.08,1.9232209105400504,-1,1
92919,98.76,7578,5263.0,774,16.25,85.625,0,0,1,1.5723270440251549,-4.716981132075465,2.12,0.9405653211343273,1,1
92920,98.73,7578,4063.0,774,19.583333333333332,75.625,0,0,1,-4.9343245538895844e-15,-0.8680555555555655,1.44,1.276489860619697,1,1
92921,98.7,7578,4063.0,774,19.583333333333332,74.375,0,0,0,14.396021463159268,4.4169611307420436,2.547,0.9810914551986372,1,1
92922,98.66,7578,5259.0,783,43.75,14.375,0,0,1,6.048387096774188,2.016129032258063,2.48,0.31688441275734264,-1,1
92923,98.62,7578,5255.0,783,58.75,19.375,0,0,1,-5.55555555555556,11.45833333333333,1.2,1.6836392423679916,-1,1
92924,98.6,7578,5260.0,783,52.083333333333336,33.125,0,0,1,4.464285714285712,-3.5714285714285716,5.6,1.6894811831865695,-1,1
92925,98.5,7578,5260.0,783,77.08333333333334,13.125,0,0,1,1.6666666666666288,-11.25,1.0,2.578702509176763,-1,1
92926,98.48,7578,5247.0,783,78.75,1.875,0,0,1,-5.90277777777778,-1.8503717077085943e-16,2.4,2.2052321330177698,-1,1
92927,98.44,7578,5264.0,783,64.58333333333334,1.875,0,0,1,-3.2297397080004557e-14,-1.0092936587501424e-15,0.44,1.5707963267948966,-1,1
92928,98.44,7578,5264.0,783,64.58333333333334,1.875,0,0,1,-2.5000000000000213,8.75,1.0,1.0448321363808897,-1,1
92929,98.42,7578,5260.0,783,62.083333333333336,10.625,0,0,1,0.0,-1.345724878333523e-15,1.32,1.5707963267948966,-1,1
92930,98.4,7578,5260.0,783,62.083333333333336,10.625,0,0,1,0.0,27.67857142857142,1.4,1.5543143029598947,-1,1
92931,98.37,7578,5258.0,783,62.083333333333336,49.375,0,0,1,3.4153005464480826,-3.586065573770498,2.44,1.1166732253019465,-1,1
92932,98.33,7578,5258.0,783,70.41666666666667,40.625,0,0,1,5.2083333333333215,15.624999999999991,0.8,1.371382606213751,-1,1
92933,98.32,7578,5246.0,783,74.58333333333333,53.125,0,0,1,1.7857142857142858,3.5714285714285614,1.4,1.4478671867951571,-1,1
92934,98.29,7578,5246.0,783,77.08333333333334,58.125,0,0,0,7.6569678407350255,-1.0881205754366005e-14,0.653,0.4257510691619682,-1,1
92935,98.28,7578,5254.0,774,17.916666666666668,41.87499999999999,0,0,1,-1.0238367950433722e-14,-4.0953471801734886e-14,0.347,1.5707963267948966,1,1
92936,98.28,7578,5254.0,774,17.916666666666668,41.87499999999999,0,0,0,7.204610951008636,10.80691642651299,0.347,0.9278751802390397,1,1
92937,98.27,7578,5246.0,783,79.58333333333333,54.375,0,0,1,0.8564576909900748,-2.5693730729702025,0.973,1.1535920580655368,-1,1
92938,98.26,7578,5262.0,774,19.583333333333332,48.12499999999999,0,0,1,-8.45884209238211e-15,0.0,0.8400000000000034,1.5707963267948966,1,1
92939,98.24,7578,3568.0,774,19.583333333333332,45.62500000000001,0,0,1,-1.4590199912938404e-14,-2.5667351129363887,0.487,1.6406307674200202,1,1
92940,98.24,7578,3568.0,774,19.583333333333332,44.375,0,0,1,11.748909029875795,-1.258811681772414,0.993,0.20640432514029758,1,1
92941,98.22,7578,5251.0,774,30.416666666666664,45.62500000000001,0,0,1,-2.0325203252032558,-19.054878048780495,1.64,2.1315242119500284,1,1
92942,98.19,7578,5253.0,774,27.083333333333332,14.375,0,0,1,-0.4844961240310091,-3.6337209302325584,1.72,2.219751749864413,1,1
92943,98.16,7578,5253.0,774,26.25,8.125,0,0,0,7.691568118450145,11.537352177675219,3.467,0.9429917457882183,1,1
92944,98.1,7578,5259.0,783,47.083333333333336,51.875,0,0,0,6.6043966411925625,-13.444664590999148,3.533,2.1097362780111046,-1,1
92945,98.04,7578,5263.0,774,29.583333333333332,95.625,0,0,1,10.149572649572645,-2.403846153846172,1.56,0.42184621839116154,1,1
92946,98.01,7578,5261.0,774,45.416666666666664,91.875,0,0,1,-1.4802973661668755e-14,2.604166666666667,0.96,2.2534001967026813,1,1
92947,98.0,7578,5264.0,783,54.58333333333333,5.625,0,0,0,-5.862563826403465e-16,-1.4656409566008662e-16,12.120000000000005,1.5707963267948966,-1,1
92948,98.0,7578,5261.0,774,45.416666666666664,94.375,0,0,0,0.0,0.0,0.0,1.5707963267948966,1,1
92949,97.79,7578,5263.0,774,47.083333333333336,99.375,0,0,1,-9.1374269005848,-3.8377192982456143,2.28,2.2404710447274514,1,1
92950,97.75,7578,4063.0,774,26.25,90.625,0,0,1,0.9259259259259246,-11.11111111111112,1.8,1.2089737565305652,1,1
92951,97.72,7578,4063.0,774,27.916666666666668,70.625,0,0,1,-1.5432098765432125,-8.680555555555555,2.16,1.7218791943788874,1,1
92952,97.68,7578,5254.0,774,24.583333333333332,51.875,0,0,1,1.5547263681592003,-2.651278864776493e-15,2.68,0.026309717252916472,1,1
92953,97.64,7578,5254.0,774,28.749999999999996,51.875,0,0,1,-1.5625,11.718749999999995,1.6,1.976042195637238,1,1
92954,97.61,7578,4063.0,774,26.25,70.625,0,0,1,0.39308176100628706,-0.5896226415094339,2.12,0.7230806944814405,1,1
92955,97.57,7578,4063.0,774,27.083333333333332,69.375,0,0,1,5.35714285714286,-21.428571428571423,1.4,1.4868319977135835,1,1
92956,97.55,7578,3568.0,774,34.583333333333336,39.37500000000001,0,0,1,1.2376237623762358,-2.16584158415842,4.04,1.3619786261110935,1,1
92957,97.48,7578,3568.0,774,39.58333333333333,30.625,0,0,1,25.0,0.0,0.8,0.4470171257191639,1,1
92958,97.47,7578,5253.0,774,59.583333333333336,30.625,0,0,1,-5.040322580645161,-3.024193548387097,2.48,3.0711001146374004,1,1
92959,97.42,7578,5253.0,774,47.083333333333336,23.125,0,0,1,-10.149572649572653,4.807692307692303,1.56,2.4245245252119387,1,1
92960,97.41,7578,5254.0,774,31.25,30.625,0,0,1,0.0,4.8076923076922915,0.7800000000000011,1.3473197256542635,1,1
92961,97.4,7578,5254.0,774,31.25,34.375,0,0,1,-4.076086956521739,19.02173913043477,1.84,2.0307218686167907,1,1
92962,97.37,7578,4063.0,774,23.75,69.375,0,0,1,2.068557919621749,-1.3297872340425532,5.64,0.3894976035390527,1,1
92963,97.27,7578,4063.0,774,35.41666666666667,61.875,0,0,1,10.416666666666655,18.465909090909083,1.76,1.821901781689752,1,1
92964,97.24,7578,5261.0,774,53.75,94.375,0,0,1,0.22893772893772568,-3.904080965714836e-15,3.64,0.7737977557047412,1,1
92965,97.18,7578,5247.0,783,45.416666666666664,5.625,0,0,1,0.0,0.0,0.0,1.5707963267948966,-1,1
