,GTR,game_id,player_id,team_id,X,Y,MP,GD,OC,VX,VY,ED,Angle,T,episode
37793,99.99,7547,3043.0,776,50.416666666666664,49.375,0,0,1,-10.73232323232323,10.416666666666655,1.32,2.5741639724358953,1,1
37794,99.96,7547,3959.0,776,36.25,63.125,0,0,1,-0.6720430107526844,-2.016129032258076,1.24,1.7294913456703382,1,1
37795,99.94,7547,3959.0,776,35.41666666666667,60.625,0,0,1,12.71645021645021,-10.95779220779221,3.08,1.4494715341792592,1,1
37796,99.89,7547,5536.0,776,74.58333333333333,26.875,0,0,1,6.944444444444406,-10.416666666666668,0.12,1.763936593180296,1,1
37797,99.89,7547,5536.0,776,75.41666666666667,25.625,0,0,1,-2.2321428571428825,-6.696428571428571,1.12,2.759038897062625,1,1
37798,99.87,7547,4763.0,776,72.91666666666666,18.125,0,0,1,0.0,2.717391304347824,1.84,0.7892591480728441,1,1
37799,99.83,7547,5494.0,792,27.08333333333333,76.875,0,0,0,0.0,-2.677252207084025e-16,53.08,1.5707963267948966,-1,1
37800,98.9,7547,4763.0,776,72.08333333333333,24.375,0,0,0,12.400793650793648,19.345238095238088,1.68,1.7712297615025498,1,1
37801,98.87,7547,5488.0,792,7.083333333333329,43.125,0,0,1,-0.17719724584852145,-1.2530376670716887,32.92,2.1647487985800886,-1,1
37802,98.3,7547,3043.0,776,98.75,98.125,0,0,1,-5.681818181818192,-2.840909090909091,1.32,1.3018342571780404,1,1
37803,98.28,7547,5516.0,776,91.25,94.375,0,0,1,-1.262626262626277,-3.7878787878787983,1.32,0.5803760129698565,1,1
37804,98.25,7547,5516.0,776,89.58333333333334,89.375,0,0,1,3.255208333333315,-30.273437499999993,1.28,1.3640123509515032,1,1
37805,98.23,7547,5527.0,776,94.58333333333333,53.125,0,0,0,3.4722222222222126,3.5156249999999853,1.44,2.3115588700838368,1,1
37806,97.71,7547,5488.0,792,6.25,89.375,0,0,0,20.83333333333333,2.499999999999993,2.0,0.8250829479818174,-1,1
37807,97.67,7547,4763.0,776,52.916666666666664,5.625,0,0,0,-7.105427357601002e-14,-12.500000000000004,0.2,2.353977198925813,1,1
37808,97.63,7547,4763.0,776,52.916666666666664,3.125,0,0,1,-5.0813008130081725,-0.5081300813008173,2.4599999999999795,2.561847500673107,1,1
37809,97.59,7547,4763.0,776,40.416666666666664,1.875,0,0,1,-7.5354609929077965,11.3031914893617,1.88,1.80934765475465,1,1
37810,97.56,7547,5534.0,776,26.25,23.125,0,0,1,-2.960594732333751e-15,6.249999999999995,1.2,1.3138897999514612,1,1
37811,97.53,7547,5534.0,776,26.25,30.625,0,0,1,6.944444444444406,218.74999999999994,0.12,1.6330687548194025,1,1
37812,97.53,7547,3959.0,776,27.083333333333332,56.875,0,0,1,1.3888888888888884,1.3020833333333304,4.8,0.9487319607720208,1,1
37813,97.45,7547,3959.0,776,33.75,63.125,0,0,1,0.9689922480620141,-17.44186046511629,1.72,1.7708741197126499,1,1
37814,97.42,7547,5534.0,776,35.41666666666667,33.125,0,0,1,-1.3020833333333426,0.9765625,1.28,2.266475115293643,1,1
37815,97.4,7547,5534.0,776,33.75,34.375,0,0,1,7.161458333333326,-4.882812500000003,1.28,0.9643693366665816,1,1
37816,97.37,7547,5520.0,776,42.916666666666664,28.125,0,0,1,3.15656565656566,-7.575757575757575,1.32,1.7181598126227513,1,1
37817,97.35,7547,5520.0,776,47.083333333333336,18.125,0,0,1,15.04629629629629,-11.284722222222223,1.44,1.638378835969828,1,1
37818,97.32,7547,4763.0,776,68.75,1.875,0,0,1,-5.208333333333348,1.9531249999999993,0.64,1.8476585442877405,1,1
37819,97.31,7547,4763.0,776,65.41666666666667,3.125,0,0,1,17.5,22.499999999999996,1.0,0.04974381002890701,1,1
37820,97.3,7547,5536.0,776,82.91666666666667,25.625,0,0,1,13.888888888888811,-10.416666666666668,0.12,1.6726831927558352,1,1
37821,97.29,7547,5536.0,776,84.58333333333333,24.375,0,0,1,-9.548611111111116,6.510416666666663,0.96,1.875709196743859,1,1
37822,97.28,7547,3043.0,776,75.41666666666667,30.625,0,0,1,6.048387096774182,2.0161290322580587,1.24,0.45751271664293036,1,1
37823,97.26,7547,5489.0,792,17.08333333333333,66.875,0,0,1,0.0,-6.459479416000944e-14,0.21999999999999886,1.5707963267948966,-1,1
37824,97.25,7547,5488.0,792,17.08333333333333,66.875,0,0,1,-11.36363636363643,28.40909090909099,0.21999999999999886,2.2156964029364437,-1,1
37825,97.25,7547,5488.0,792,14.583333333333329,73.125,0,0,0,6.944444444444439,2.403846153846145,1.56,0.6790965882418932,-1,1
37826,97.23,7547,5491.0,792,25.416666666666657,76.875,0,0,1,3.2679738562091267,-8.578431372548934,1.0200000000000102,0.9577150191925068,-1,1
37827,97.21,7547,5491.0,792,28.75,68.125,0,0,1,-2.717391304347826,2.7173913043478106,0.92,2.6288888267380126,-1,1
37828,97.2,7547,5491.0,792,26.25,70.625,0,0,1,4.166666666666656,10.937499999999991,1.6,1.7236192155508865,-1,1
37829,97.17,7547,3281.0,792,32.91666666666666,88.125,0,0,1,2.7356902356902344,1.2626262626262554,3.96,1.0864904999848977,-1,1
