,GTR,game_id,player_id,team_id,X,Y,MP,GD,OC,VX,VY,ED,Angle,T,episode
81018,100.0,7569,6138.0,798,49.583333333333336,50.625,0,0,1,-20.602443876101173,13.853367433930082,1.173,2.772132351444231,1,1
81019,99.98,7569,5638.0,798,25.416666666666664,66.875,0,0,1,-1.1332420028071774e-14,-1.993620414673069,0.627,1.364285737889011,1,1
81020,99.97,7569,5638.0,798,25.416666666666664,65.625,0,0,0,14.774406182520742,-13.211728605523355,2.933,1.3666888516462359,1,1
81021,99.92,7569,3252.0,777,31.25,73.125,0,0,0,4.778709013380383,1.6541685046316656,2.267,0.7677031221196842,-1,1
81022,99.88,7569,6346.0,798,57.91666666666667,23.125,0,0,0,2.757859900717032,8.273579702151126,1.813,0.9391389958162246,1,1
81023,99.85,7569,6347.0,777,37.083333333333336,61.875,0,0,0,7.6754385964912215,8.223684210526306,1.52,1.2638129894849537,-1,1
81024,99.82,7569,5640.0,798,51.24999999999999,25.625,0,0,1,-7.503091190708556e-15,6.599788806758184,0.947,1.2148385886269113,1,1
81025,99.81,7569,5640.0,798,51.24999999999999,31.875,0,0,1,1.4208581983518025,6.393861892583117,1.173,1.130181293220805,1,1
81026,99.79,7569,6138.0,798,52.916666666666664,39.37500000000001,0,0,1,-12.5968992248062,-4.360465116279078,1.72,3.066119494712418,1,1
81027,99.76,7569,5635.0,798,31.25,31.875,0,0,1,-0.5482456140350893,1.644736842105263,1.52,1.6716599414895967,1,1
81028,99.73,7569,5635.0,798,30.416666666666664,34.375,0,0,1,-9.960159362549799,7.47011952191235,1.506,2.4464134603140786,1,1
81029,99.7,7569,5636.0,798,15.416666666666668,45.62500000000001,0,0,1,-3.552713678800501e-12,-7.105427357601002e-12,0.001,1.5707963267948966,1,1
81030,99.7,7569,5636.0,798,15.416666666666668,45.62500000000001,0,0,1,11.73708920187793,6.602112676056334,2.84,0.7858504474009822,1,1
81031,99.66,7569,5637.0,798,48.75,64.375,0,0,1,-6.579099405186112e-15,1.1574074074074074,1.08,1.866722365259105,1,1
81032,99.64,7569,5637.0,798,48.75,65.625,0,0,1,-8.726003490401421,-6.544502617801047,0.573,2.2900354080054828,1,1
81033,99.63,7569,6138.0,798,43.75,61.875,0,0,1,8.814102564102562,-15.624999999999993,1.04,1.149844622264726,1,1
81034,99.61,7569,5646.0,798,52.916666666666664,45.62500000000001,0,0,1,0.7810059356451131,3.5145267104029925,1.067,1.3386146899076254,1,1
81035,99.59,7569,5646.0,798,53.75,49.375,0,0,1,9.771386430678461,7.743362831858403,4.52,2.1803863444392855,1,1
81036,99.51,7569,5629.0,798,97.91666666666666,84.375,0,0,1,-1.2114965656608699e-14,4.262574595055414,1.173,3.0887318913472814,1,1
81037,99.49,7569,5936.0,777,2.0833333333333286,10.625,0,0,1,0.0,0.0,0.0,1.5707963267948966,-1,1
81038,99.49,7569,5936.0,777,2.0833333333333286,10.625,0,0,1,4.464285714285713,-2.9761904761904763,1.68,1.044249792607369,-1,1
81039,99.47,7569,5936.0,777,9.583333333333329,5.625,0,0,1,4.533913674283642,13.60174102285092,0.919,0.8950483355663578,-1,1
81040,99.45,7569,6347.0,777,13.75,18.125,0,0,1,-2.4637404152569355e-15,0.0,0.721,1.5707963267948966,-1,1
81041,99.44,7569,6347.0,777,13.75,18.125,0,0,1,4.901960784313715,-22.058823529411764,0.68,1.8666614822900842,-1,1
81042,99.43,7569,5936.0,777,17.08333333333333,3.125,0,0,1,2.314814814814841,0.0,0.36,0.5188727408252302,-1,1
81043,99.42,7569,5936.0,777,17.91666666666667,3.125,0,0,1,-5.212987786714338,7.8194816800714895,1.119,1.7496251262664864,-1,1
81044,99.4,7569,6347.0,777,12.083333333333329,11.875,0,0,1,-4.42981755461409e-15,0.0,0.401,1.5707963267948966,-1,1
81045,99.39,7569,6347.0,777,12.083333333333329,11.875,0,0,0,18.65323633650438,-1.398992725237829,1.787,0.7146867538093511,-1,1
81046,99.36,7569,5638.0,798,54.58333333333333,90.625,0,0,0,-1.452161732597793e-15,-2.904323465195586e-15,4.893000000000001,1.5707963267948966,1,1
81047,99.28,7569,5629.0,798,82.08333333333333,73.125,0,0,0,0.0,-1.101019192314403e-15,12.907000000000004,1.5707963267948966,1,1
81048,99.06,7569,5651.0,777,18.75,64.375,0,0,1,5.148573109738154,6.6195939982347625,1.133,1.1920615418316325,-1,1
81049,99.04,7569,5650.0,777,24.58333333333333,71.875,0,0,1,-6.832141690000963e-15,-2.732856676000385e-14,0.52,1.5707963267948966,-1,1
81050,99.03,7569,5650.0,777,24.58333333333333,71.875,0,0,1,-8.333333333333329,-10.0,1.0,2.1246824800865363,-1,1
81051,99.01,7569,5651.0,777,16.25,61.875,0,0,1,1.8735613725175317,-2.6096033402922743,6.227,1.0087448178546186,-1,1
81052,98.91,7569,5651.0,777,27.91666666666667,45.62500000000001,0,0,1,1.410039481105461,-24.67569091934575,1.773,2.1187929910831977,-1,1
81053,98.88,7569,5936.0,777,30.416666666666657,1.875,0,0,1,-2.220446049250313e-14,-1.3877787807814457e-15,0.32,1.5707963267948966,-1,1
81054,98.87,7569,5936.0,777,30.416666666666657,1.875,0,0,1,-6.365740740740734,8.680555555555554,1.44,1.7787129988777368,-1,1
81055,98.85,7569,6345.0,777,21.25,14.375,0,0,1,0.6944444444444346,2.0833333333333335,1.2,0.8470618939103302,-1,1
81056,98.83,7569,6345.0,777,22.08333333333333,16.875,0,0,1,0.6131959774343846,27.59381898454745,1.359,1.6052736916766939,-1,1
81057,98.8,7569,5651.0,777,22.916666666666657,54.375,0,0,1,-0.671501477303249,-5.725565961000001e-15,1.241,3.0855018190782397,-1,1
81058,98.78,7569,5651.0,777,22.08333333333333,54.375,0,0,1,-9.615384615384611,-8.012820512820527,1.56,2.534076462161372,-1,1
81059,98.76,7569,6342.0,777,7.083333333333329,41.87499999999999,0,0,1,0.5386770092652501,-0.8080155138978669,1.547,1.0842540871470803,-1,1
81060,98.73,7569,6342.0,777,7.916666666666671,40.625,0,0,0,14.136904761904757,-10.788690476190474,3.36,1.4488141086095336,-1,1
81061,98.67,7569,6344.0,798,44.583333333333336,95.625,0,0,0,1.2177301509985352,-12.177301509985394,2.053,1.0994766515441765,1,1
81062,98.64,7569,6347.0,777,52.916666666666664,29.375,0,0,1,3.5919540229884857,16.163793103448267,1.16,1.3084658261687312,-1,1
81063,98.62,7569,3557.0,777,57.08333333333333,48.12499999999999,0,0,1,4.643603436266543,0.5804504295333178,4.307,0.15162096300235614,-1,1
81064,98.54,7569,3557.0,777,77.08333333333334,50.625,0,0,1,5.985634477254567,20.94972067039106,1.253,2.342478825171303,-1,1
81065,98.52,7569,3252.0,777,84.58333333333333,76.875,0,0,1,2.4509803921568696,1.8382352941176052,0.68,1.7595781607672103,-1,1
81066,98.51,7569,3252.0,777,86.25,78.125,0,0,0,7.137758743754451,-32.11991434689509,0.467,0.45218852072682425,-1,1
81067,98.5,7569,5635.0,798,10.416666666666668,36.875,0,0,1,8.066142367412755,5.293405928614622,1.6530000000000058,0.5234421444616305,1,1
81068,98.47,7569,5650.0,777,76.25,54.375,0,0,1,-1.544658121217609e-14,-1.3586956521739206,0.92,1.4399689307208396,-1,1
81069,98.46,7569,5650.0,777,76.25,53.125,0,0,1,8.522727272727257,-25.568181818181834,0.88,2.121939276598094,-1,1
81070,98.44,7569,5654.0,777,83.75,30.625,0,0,1,-1.4210854715202004e-14,0.0,1.0,1.5707963267948966,-1,1
81071,98.43,7569,5654.0,777,83.75,30.625,0,0,1,-5.952380952380994,8.928571428571415,0.56,1.5255890534181287,-1,1
81072,98.42,7569,6347.0,777,80.41666666666667,35.625,0,0,1,0.0,-2.9361270072731416e-14,0.242,1.5707963267948966,-1,1
81073,98.41,7569,6347.0,777,80.41666666666667,35.625,0,0,0,6.483600305110598,-1.7162471395881023,2.185,1.539165276210153,-1,1
81074,98.37,7569,5635.0,798,5.416666666666667,68.125,0,0,1,3.7959307622228895,8.730640753112642,3.2930000000000064,1.6795417270786357,1,1
81075,98.32,7569,5936.0,777,82.08333333333333,3.125,0,0,1,-1.6666666666666572,7.499999999999997,1.0,0.6801979139768943,-1,1
81076,98.3,7569,6347.0,777,80.41666666666667,10.625,0,0,1,0.0,-2.717391304347828,0.92,2.7041487229260244,-1,1
81077,98.29,7569,6347.0,777,80.41666666666667,8.125,0,0,1,16.025641025641015,4.8076923076923075,0.52,1.0010398733119181,-1,1
81078,98.28,7569,5936.0,777,88.75,10.625,0,0,1,2.2311468094600686,8.36680053547523,0.747,0.021016757139909584,-1,1
81079,98.26,7569,5936.0,777,90.41666666666667,16.875,0,0,0,3.0864197530864153,20.83333333333333,1.08,0.38464571187040364,-1,1
81080,98.25,7569,5638.0,798,6.25,60.625,0,0,1,0.8944943870477213,5.199248624714875,7.453000000000003,1.9162116382766536,1,1
81081,98.12,7569,5936.0,777,87.08333333333333,0.625,0,0,1,1.8115942028985403,17.663043478260864,0.92,0.22519349369297317,-1,1
81082,98.1,7569,6347.0,777,88.75,16.875,0,0,1,2.1446078431372477,-1.378676470588236,2.72,1.9962842034376096,-1,1
81083,98.06,7569,6347.0,777,94.58333333333333,13.125,0,0,1,-8.928571428571427,-20.08928571428571,0.56,2.936530212202535,-1,1
81084,98.05,7569,5936.0,777,89.58333333333334,1.875,0,0,1,-1.1792452830188813,0.5896226415094338,2.12,1.376031350880904,-1,1
81085,98.01,7569,5936.0,777,87.08333333333333,3.125,0,0,0,0.0,36.53113087674713,0.787,0.6191613471304628,-1,1
81086,98.0,7569,5640.0,798,12.916666666666668,68.125,0,0,1,4.9730036942313145,20.2472293265132,1.173,1.8058292863909216,1,1
81087,97.98,7569,5637.0,798,18.75,91.875,0,0,1,1.912777352716144,-6.694720734506504,1.307,0.894329083712444,1,1
81088,97.95,7569,5637.0,798,21.25,83.125,0,0,1,6.861848124428173,-6.861848124428192,1.093,0.440153238288812,1,1
81089,97.94,7569,5646.0,798,28.749999999999996,75.625,0,0,1,4.3210657223557165,0.47426331099026,7.907,0.7792452079410026,1,1
81090,97.8,7569,5646.0,798,62.916666666666664,79.375,0,0,1,-4.430005906674534,-13.29001772002363,1.693,1.7395464292151974,1,1
81091,97.77,7569,5640.0,798,55.41666666666667,56.875,0,0,1,1.2751849018107553,-5.738332058148437,1.307,1.3666894583136944,1,1
81092,97.75,7569,5640.0,798,57.08333333333333,49.375,0,0,1,2.4999999999999964,-16.875,2.0,2.1601639195675157,1,1
