,GTR,game_id,player_id,team_id,X,Y,MP,GD,OC,VX,VY,ED,Angle,T,episode
55636,100.0,7556,5684.0,778,50.416666666666664,49.375,0,0,1,-13.064576334453152,2.799552071668517,0.893,2.9611020082957658,1,1
55637,99.98,7556,5681.0,778,38.75,51.875,0,0,1,-1.2192148256522835,-0.9144111192392151,1.367,2.488158096697304,1,1
55638,99.96,7556,5681.0,778,37.083333333333336,50.625,0,0,1,-4.973003694231321,-13.8533674339301,1.173,2.138920243553556,1,1
55639,99.94,7556,3300.0,778,31.25,34.375,0,0,1,0.0,-10.040160642570285,0.747,1.8952716700884704,1,1
55640,99.92,7556,3300.0,778,31.25,26.875,0,0,1,1.0871928680147773,23.646444879321585,1.533,1.718063154834583,1,1
55641,99.9,7556,5682.0,778,32.916666666666664,63.125,0,0,1,-2.6581605528974026,-3.9872408293461152,0.627,2.005466541944141,1,1
55642,99.89,7556,5682.0,778,31.25,60.625,0,0,1,-12.583211560318231,-6.088650754992701,2.053,2.7107525198662707,1,1
55643,99.85,7556,3175.0,778,5.416666666666667,48.12499999999999,0,0,1,0.6186587478346935,2.7839643652561246,1.347,1.3721247148941056,1,1
55644,99.83,7556,3175.0,778,6.25,51.875,0,0,0,14.894032620373078,-0.7324934075593341,3.413,0.06370281180876101,1,1
55645,99.77,7556,5664.0,787,42.916666666666664,50.625,0,0,0,11.025358324145518,-8.269018743109159,0.907,0.788494128737998,-1,1
55646,99.75,7556,5693.0,778,47.083333333333336,56.875,0,0,0,10.945961516303711,0.8641548565502865,2.893,0.49427605693003424,1,1
55647,99.7,7556,5675.0,787,21.25,40.625,0,0,1,-1.7080354225002407e-15,-13.221153846153845,2.08,2.008726134590682,-1,1
55648,99.66,7556,5675.0,787,21.25,13.125,0,0,1,15.168752370117561,-1.422070534698523,0.879,0.6211551115624904,-1,1
55649,99.65,7556,2941.0,787,34.58333333333334,11.875,0,0,1,-0.34707760655283215,-3.644314868804665,2.401,2.2815212732786425,-1,1
55650,99.61,7556,2941.0,787,33.75,3.125,0,0,0,1.736111111111131,0.0,0.48,0.6217541493071209,-1,1
